run,phase,iteration,case,latency_ms,status,route,compile_submissions,eager_fallback,max_abs_error
default-r1,serving,37,batch1_contiguous,0.058839,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,37,batch2_contiguous,0.072069,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,37,batch4_contiguous,0.067479,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,37,batch2_strided,0.066339,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,37,batch3_strided_late,0.065349,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,38,batch0_contiguous,0.046729,ok,compiled_cache,0,False,0.0
default-r1,serving,38,batch1_contiguous,0.064249,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,38,batch2_contiguous,0.06162,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,38,batch4_contiguous,0.061158,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,38,batch2_strided,0.084039,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,38,batch3_strided_late,0.077799,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,39,batch0_contiguous,0.048689,ok,compiled_cache,0,False,0.0
default-r1,serving,39,batch1_contiguous,0.060589,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,39,batch2_contiguous,0.065219,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,39,batch4_contiguous,0.062309,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,39,batch2_strided,0.071139,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,39,batch3_strided_late,0.080429,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,40,batch0_contiguous,0.049349,ok,compiled_cache,0,False,0.0
default-r1,serving,40,batch1_contiguous,0.061929,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,40,batch2_contiguous,0.061959,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,40,batch4_contiguous,0.06467,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,40,batch2_strided,0.082379,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,40,batch3_strided_late,0.066979,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,41,batch0_contiguous,0.045999,ok,compiled_cache,0,False,0.0
default-r1,serving,41,batch1_contiguous,0.074289,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,41,batch2_contiguous,0.079289,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,41,batch4_contiguous,0.062089,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,41,batch2_strided,0.068839,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,41,batch3_strided_late,0.068599,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,42,batch0_contiguous,0.05013,ok,compiled_cache,0,False,0.0
default-r1,serving,42,batch1_contiguous,0.0612,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,42,batch2_contiguous,0.062039,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,42,batch4_contiguous,0.088159,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,42,batch2_strided,0.066659,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,42,batch3_strided_late,0.070139,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,43,batch0_contiguous,0.046499,ok,compiled_cache,0,False,0.0
default-r1,serving,43,batch1_contiguous,0.060849,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,43,batch2_contiguous,0.0677,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,43,batch4_contiguous,0.066029,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,43,batch2_strided,0.065679,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,43,batch3_strided_late,0.07757,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,44,batch0_contiguous,0.047811,ok,compiled_cache,0,False,0.0
default-r1,serving,44,batch1_contiguous,0.060369,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,44,batch2_contiguous,0.064789,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,44,batch4_contiguous,0.072459,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,44,batch2_strided,0.06588,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,44,batch3_strided_late,0.065928,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,45,batch0_contiguous,0.050711,ok,compiled_cache,0,False,0.0
default-r1,serving,45,batch1_contiguous,0.084498,ok,compiled_cache,0,False,1.4901161193847656e-08
